track_name,artist_name,released_year,released_month,genre,streams,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,bpm,key,mode,region
Dream Dance 110,Shawn Mendes,2019,9,Electronic,12125723,0.637,0.884,0.297,0.206,0.224,0.0956,215542,99,G,1,South America
Sun Love 419 (feat. X),Coldplay,2010,4,Country,1641522,0.512,0.485,0.797,0.231,0.092,0.0025,230017,80,F#,1,South America
Love Light 565 (feat. X),Indie Artist 67,2014,7,Latin,30137775,0.412,0.527,0.638,0.258,0.086,0.0296,177085,97,E,0,Global
Stars Shadow 77 (feat. X),Ariana Grande,2011,12,Indie,8892703,0.556,0.627,0.576,0.602,0.034,0.0419,208233,97,G,0,North America
Sun Light 181,Post Malone,2022,7,R&B,1593408,0.735,0.701,0.337,0.252,0.104,0.1211,177903,98,C,1,South America
Dance Night 284 (feat. X),Shawn Mendes,2021,6,Electronic,10455488,0.957,0.749,0.732,0.126,0.139,0.001,210922,63,B,1,North America
Night Fire 10,BTS,2022,8,Rock,11182172,0.707,0.398,0.193,0.385,0.356,0.1128,254671,127,B,1,Africa
Love Dream 469,Ed Sheeran,2018,8,Electronic,3345491,0.588,0.548,0.53,0.234,0.025,0.0033,184464,150,A#,0,Europe
Moon Sun 78 (feat. X),BTS,1997,12,Indie,4809583,0.48,0.622,0.825,0.294,0.132,0.0001,207664,90,G,1,Oceania
Dream Rain 349(Remix),Justin Bieber,1994,6,Latin,3799258,0.54,0.767,0.414,0.497,0.1,0.0047,169387,124,A#,1,Global
Sun Dance 55 (feat. X),Adele,2019,9,Hip-Hop,25871358,0.681,0.474,0.367,0.038,0.024,0.1484,218369,154,B,0,Europe
Stars Love 118Part II,Ed Sheeran,2016,4,Indie,2197289,0.479,0.675,0.78,0.488,0.062,0.0145,236629,126,F,1,North America
Stars Sun 109Part II,Ariana Grande,2000,10,Latin,3397965,0.573,0.901,0.478,0.142,0.158,0.0058,180174,87,C,1,Oceania
Night Dance 588,Beyonce,2003,2,Indie,11646853,0.641,0.552,0.479,0.507,0.1,0.0065,147730,85,C,0,South America
Moon Dream 369Part II,Shawn Mendes,2017,11,Hip-Hop,1151299,0.364,0.615,0.595,0.128,0.096,0.0122,224194,95,D,1,South America
Sun Stars 234 (feat. X),Billie Eilish,2021,1,Indie,2040383,0.841,0.676,0.811,0.37,0.089,0.0008,207514,69,D,0,South America
Shadow Light 30,Indie Artist 94,2001,1,Latin,10705930,0.491,0.555,0.485,0.232,0.077,0.0056,234554,112,D,0,North America
Night Shadow 212 (feat. X),Bruno Mars,2019,9,Hip-Hop,10915129,0.484,0.493,0.022,0.128,0.142,0.0018,227115,122,F,1,South America
Fire Stars 184,Shawn Mendes,2009,5,Country,5790436,0.57,0.634,0.354,0.135,0.335,0.0005,196363,105,A,1,Oceania
Rain Light 86,Shawn Mendes,1998,4,Hip-Hop,987141,0.71,0.483,0.517,0.163,0.314,0.1804,215687,130,G#,1,Oceania
Sun Fire 2,Taylor Swift,2006,10,Rock,11480669,0.534,0.624,0.788,0.058,0.221,0.2374,191545,152,A#,1,Asia
Shadow Rain 587,Coldplay,2005,7,Rock,21466781,0.588,0.564,0.634,0.645,0.131,0.0098,171068,80,B,0,North America
Stars Stars 535,Imagine Dragons,2013,3,R&B,8566632,0.897,0.347,0.162,0.385,0.107,0.1125,215465,127,G,0,Asia
Fire Heart 596,Dua Lipa,2020,12,Rock,1285306,0.678,0.225,0.388,0.448,0.086,0.0463,166091,102,F#,1,North America
Light Moon 368,BTS,2023,6,Country,3494868,0.73,0.113,0.356,0.11,0.062,0.0,214732,116,C#,1,South America
Dream Shadow 539,The Weeknd,2017,5,Pop,17327723,0.53,0.558,0.494,0.199,0.064,0.0204,246107,80,C,0,North America
Fire Dream 72,Bad Bunny,2012,12,Rock,9892323,0.909,0.818,0.705,0.311,0.197,0.126,197046,92,A#,0,Asia
Heart Moon 135,Indie Artist 90,1993,2,Indie,5649050,0.516,0.547,0.769,0.13,0.104,0.0625,273304,121,B,0,Africa
Rain Light 556,Post Malone,2002,1,Country,7284772,0.453,0.461,0.787,0.154,0.168,0.0157,215213,92,C,0,Asia
Dream Shadow 437 - Live,Shawn Mendes,2013,10,Rock,4487620,0.316,0.713,0.458,0.298,0.144,0.017,243379,108,A,0,Europe
